Symbol,CompanyName
BALUFORGE,Balu Forge Industries Ltd
EXPLEOSOL,Expleo Solutions Ltd
CYIENTDLM,Cyient DLM Ltd
HARSHA,Harsha Engineers Int Ltd
MAMATA,Mamata Machinery Limited
APOLLOTYRE,Apollo Tyres Ltd
FIRSTCRY,Brainbees Solutions Limited
STARHEALTH,Star Health and Allied Insurance Company Limited
GODIGIT,Go Digit General Insurance Limited
MRPL,Mangalore Refinery & Petrochemicals
EMAMILTD,Emami Ltd
KPRMILL,K.P.R. Mill Ltd.
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED
SUNTV,SUN TV NETWORK LIMITED
CDSL,Central Depository Services (India) Ltd.
BANDHANBNK,Bandhan Bank Limited
MANYAVAR,Vedant Fashions Limited
GLAND, Gland Pharma Limited
GODFRYPHLP,Godfrey Phillips India Ltd.
MEDANTA,Global Health Limited
MSUMI,Motherson Sumi Wiring India Limited
BRIGADE,Brigade Enterprises Limited
NBCC,NBCC (India) Limited
HINDCOPPER,Hindustan Copper Ltd.
POONAWALLA,POONAWALLA FINCORP LIMITED
PPLPHARMA,PIRAMAL PHARMA LIMITED
SUVENPHAR,SUVEN PHARMACEUTICALS LIMITED
DELHIVERY,Delhivery Limited
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Lt
GILLETTE,Gillette India Ltd.
BAYERCROP,Bayer CropScience Limited.
CARBORUNIV,Carborundum Universal Ltd.
ABREL,ADITYA BIRLA REAL ESTATE LIMITED
BASF,BASF India Ltd
MCX,Multi Commodity Exchange of India Ltd
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
AEGISLOG,Aegis Logistics Ltd.
ITI,ITI Limited (Indian Teleph.Ind.Ltd)
RADICO,Radico Khaitan Ltd.
SUNDRMFAST,Sundram Fasteners Ltd.
TIMKEN,Timken India Ltd
TATACHEM,Tata Chemicals Ltd
CROMPTON,Crompton Greaves Consumer Electricals Limited
ISEC,ICICI Securities Limited
JYOTICNC,Jyoti CNC Automation Limited
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED
LALPATHLAB,Dr. Lal Pathlabs Limited
INOXWIND,Inox Wind Limited
HSCL,Himadri Speciality Chemical Ltd.
